Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
LeBron James,PG,36,LAL,41,41,33.9,9.5,18.4,.513,2.4,6.5,.368,7.1,12.0,.592,.578,4.1,5.8,.703,0.6,7.3,7.9,7.9,1.0,0.6,3.7,1.6,25.4
DaQuan Jeffries,SG,23,SAC,15,2,13.7,1.5,3.6,.407,0.5,1.7,.308,0.9,1.9,.500,.481,0.4,0.5,.857,0.5,1.1,1.6,0.3,0.4,0.3,0.5,1.4,3.9
Ty Jerome,SG,23,OKC,11,1,26.6,3.7,8.2,.456,2.3,5.1,.446,1.5,3.1,.471,.594,0.2,0.5,.400,0.6,2.8,3.5,3.6,0.7,0.2,0.7,2.4,9.9
Isaiah Joe,SG,21,PHI,22,1,11.5,1.4,3.9,.360,1.1,3.0,.364,0.3,0.9,.350,.500,0.2,0.2,1.000,0.3,0.9,1.2,0.7,0.3,0.2,0.2,1.0,4.1
Cameron Johnson,PF,24,PHO,35,9,23.9,3.7,8.3,.441,2.1,5.6,.385,1.5,2.7,.558,.571,0.9,1.1,.865,0.5,2.8,3.4,1.3,0.6,0.3,0.8,1.4,10.4
James Johnson,PF,33,DAL,29,1,17.4,2.3,5.0,.462,0.5,2.1,.250,1.8,2.9,.612,.514,0.6,1.0,.586,0.5,2.5,3.0,1.7,0.8,0.8,0.9,2.0,5.7
Keldon Johnson,SF,21,SAS,37,35,29.2,5.2,11.0,.475,0.9,2.8,.330,4.3,8.2,.525,.517,2.5,3.2,.767,1.7,4.8,6.5,2.0,0.6,0.6,1.3,2.2,13.9
Stanley Johnson,PF,24,TOR,38,6,14.2,1.0,2.7,.376,0.6,1.7,.364,0.4,0.9,.400,.495,0.3,0.4,.786,0.5,1.7,2.2,1.2,0.7,0.3,0.7,1.7,2.9
Nikola Jokić,C,25,DEN,42,42,35.8,10.6,18.7,.569,1.5,3.6,.425,9.1,15.0,.604,.610,4.3,5.0,.866,2.9,8.3,11.2,8.6,1.6,0.6,3.1,2.8,27.1
Damian Jones,C,25,TOT,22,6,9.4,1.1,1.5,.727,0.0,0.0,.000,1.1,1.5,.750,.727,0.8,1.0,.739,0.7,1.3,2.0,0.2,0.1,0.5,0.5,1.9,3.0
Damian Jones,C,25,PHO,14,0,6.7,0.6,1.1,.500,0.0,0.1,.000,0.6,1.1,.533,.500,0.4,0.8,.545,0.5,0.8,1.3,0.3,0.1,0.4,0.4,1.4,1.6
Damian Jones,C,25,LAL,8,6,14.0,2.0,2.1,.941,0.0,0.0,0,2.0,2.1,.941,.941,1.4,1.5,.917,1.0,2.3,3.3,0.1,0.1,0.9,0.6,2.8,5.4
Derrick Jones Jr.,SF,23,POR,38,37,26.4,2.9,5.8,.498,0.9,2.6,.340,2.0,3.3,.621,.572,1.2,1.9,.648,1.7,2.7,4.4,0.9,0.8,1.1,0.7,2.4,7.9
Mason Jones,SG,22,HOU,26,1,11.8,1.8,4.4,.412,0.9,2.5,.359,0.9,1.9,.480,.513,1.3,2.2,.614,0.2,1.8,2.0,1.5,0.2,0.0,1.1,0.8,5.8
Tre Jones,PG,21,SAS,18,0,4.3,0.8,1.6,.517,0.1,0.1,1.000,0.8,1.6,.500,.534,0.3,0.3,1.000,0.3,0.1,0.4,0.4,0.1,0.0,0.3,0.3,2.0
Tyus Jones,PG,24,MEM,40,8,20.2,3.1,7.1,.438,0.7,2.4,.298,2.4,4.7,.508,.488,0.6,0.7,.889,0.4,1.9,2.2,4.3,1.1,0.1,0.8,0.5,7.5
Cory Joseph,PG,29,SAC,43,2,21.5,2.6,5.8,.448,0.7,2.2,.333,1.9,3.6,.516,.510,0.8,1.0,.756,0.6,1.7,2.2,2.4,0.9,0.2,1.0,2.3,6.7
Mfiondu Kabengele,PF,23,LAC,23,0,4.1,0.4,1.4,.281,0.2,0.8,.222,0.2,0.6,.357,.344,0.2,0.3,.833,0.0,0.6,0.6,0.2,0.1,0.1,0.3,0.8,1.2
Frank Kaminsky,C,27,PHO,32,13,15.1,2.6,5.4,.471,0.8,2.0,.406,1.8,3.4,.509,.546,0.6,1.0,.606,0.7,3.0,3.7,1.6,0.3,0.4,0.5,1.3,6.6
Enes Kanter,C,28,POR,42,30,26.3,5.0,8.5,.594,0.0,0.0,.000,5.0,8.4,.596,.594,1.9,2.5,.767,4.1,7.3,11.5,1.2,0.5,0.7,1.2,2.7,11.9
Luke Kennard,SG,24,LAC,38,7,19.5,3.0,6.1,.494,1.6,3.4,.477,1.4,2.8,.514,.624,0.3,0.4,.867,0.3,2.4,2.7,1.8,0.4,0.2,0.8,1.5,8.0
Maxi Kleber,PF,29,DAL,29,23,27.6,2.5,5.3,.471,1.9,4.0,.470,0.6,1.3,.474,.648,0.9,0.9,.963,1.0,4.4,5.4,1.4,0.5,0.8,0.6,2.3,7.8
Nathan Knight,PF,23,ATL,15,0,8.1,1.3,2.9,.455,0.3,0.9,.385,1.0,2.1,.484,.511,1.3,1.5,.909,1.1,1.2,2.3,0.3,0.3,0.4,0.7,0.9,4.3
Kevin Knox,SF,21,NYK,29,0,14.1,1.7,4.2,.398,1.0,2.6,.400,0.7,1.7,.396,.520,0.4,0.5,.786,0.3,1.4,1.8,0.6,0.3,0.2,0.6,1.2,4.8
John Konchar,SG,24,MEM,21,0,15.2,1.4,3.2,.441,0.4,1.2,.360,1.0,2.0,.488,.507,0.8,0.9,.889,0.9,2.4,3.3,1.1,0.9,0.2,0.4,1.2,4.0
Furkan Korkmaz,SG,23,PHI,32,4,19.4,3.1,7.7,.402,1.8,4.7,.371,1.3,3.0,.453,.516,1.2,1.6,.765,0.3,1.9,2.2,1.1,0.8,0.2,1.0,1.2,9.2
Rodions Kurucs,SF,22,HOU,11,0,6.8,0.5,1.9,.238,0.2,1.4,.133,0.3,0.5,.500,.286,0.1,0.2,.500,0.2,0.8,1.0,0.4,0.5,0.4,0.8,0.6,1.2
Kyle Kuzma,SF,25,LAL,42,12,26.7,4.7,10.5,.443,1.9,5.1,.370,2.8,5.4,.513,.534,0.7,1.2,.620,1.9,4.7,6.6,1.4,0.5,0.6,1.5,1.7,12.0
Anthony Lamb,SF,23,HOU,6,0,16.8,0.8,4.5,.185,0.3,2.5,.133,0.5,2.0,.250,.222,0.5,0.7,.750,1.8,2.5,4.3,0.3,0.2,0.2,0.3,2.3,2.5
Jeremy Lamb,SG,28,IND,25,8,22.3,3.6,7.8,.459,1.6,3.7,.430,2.0,4.1,.485,.561,2.3,2.4,.950,0.7,3.0,3.6,1.6,0.8,0.5,0.7,2.1,11.1
Jake Layman,SF,26,MIN,31,10,16.5,2.4,4.9,.483,0.6,2.1,.292,1.7,2.8,.628,.546,0.7,1.0,.767,0.4,1.5,1.9,0.8,0.8,0.5,0.7,1.1,6.1
Jalen Lecque,PG,20,IND,4,0,3.0,0.3,2.3,.111,0.0,0.3,.000,0.3,2.0,.125,.111,0.8,0.8,1.000,0.5,0.8,1.3,0.5,0.0,0.0,0.0,0.0,1.3
Damion Lee,SG,28,GSW,42,1,19.0,2.2,4.9,.440,1.4,3.7,.378,0.8,1.2,.627,.582,0.7,0.8,.886,0.4,3.0,3.3,1.5,0.6,0.1,0.5,1.4,6.5
Saben Lee,PG,21,DET,21,0,14.7,2.0,4.0,.512,0.2,0.3,.571,1.9,3.7,.506,.536,1.5,2.2,.660,0.4,1.2,1.6,2.6,0.6,0.2,0.9,1.6,5.8
Alex Len,C,27,TOT,33,11,14.6,2.4,3.7,.634,0.2,0.6,.300,2.2,3.1,.699,.659,1.2,2.0,.615,0.8,2.8,3.6,1.0,0.3,1.1,0.9,1.8,6.1
Alex Len,C,27,TOR,7,2,10.9,0.7,1.4,.500,0.4,0.9,.500,0.3,0.6,.500,.650,0.4,0.9,.500,0.0,1.6,1.6,0.4,0.1,0.9,1.1,1.4,2.3
Alex Len,C,27,WAS,26,9,15.6,2.8,4.3,.646,0.1,0.5,.214,2.7,3.8,.707,.659,1.4,2.3,.627,1.0,3.2,4.1,1.1,0.3,1.2,0.8,2.0,7.2
Kawhi Leonard,SF,29,LAC,36,36,34.5,9.4,18.3,.512,2.0,5.1,.393,7.4,13.3,.558,.567,5.2,5.9,.873,0.9,5.4,6.3,4.9,1.7,0.5,1.9,1.6,25.9
Meyers Leonard,C,28,MIA,3,2,9.7,1.0,2.3,.429,1.0,2.3,.429,0.0,0.0,0,.643,0.3,0.7,.500,0.0,2.3,2.3,0.7,0.0,0.0,0.7,1.7,3.3
Caris LeVert,SG,26,TOT,18,10,29.1,6.7,15.9,.418,1.8,5.5,.333,4.8,10.4,.463,.476,2.1,2.6,.809,0.8,3.4,4.2,5.3,1.2,0.3,1.9,1.7,17.3
Caris LeVert,SG,26,IND,6,6,31.5,5.5,14.5,.379,1.8,6.0,.306,3.7,8.5,.431,.443,2.0,2.2,.923,0.7,3.3,4.0,4.0,1.5,0.0,1.5,1.7,14.8
Kira Lewis Jr.,PG,19,NOP,27,0,14.1,2.1,5.6,.387,0.6,1.9,.314,1.6,3.7,.424,.440,0.6,0.8,.682,0.1,0.8,0.9,1.9,0.7,0.1,0.5,1.2,5.4
Damian Lillard,PG,30,POR,41,41,36.0,9.4,20.7,.455,4.3,11.2,.383,5.1,9.5,.541,.559,7.2,7.7,.940,0.5,3.9,4.4,7.6,0.9,0.2,3.3,1.6,30.3
Nassir Little,PF,20,POR,27,2,13.6,1.7,3.7,.465,0.8,2.0,.389,0.9,1.7,.556,.571,1.1,1.3,.857,0.8,1.8,2.6,0.4,0.1,0.3,0.4,1.2,5.3
Kevon Looney,C,24,GSW,32,15,15.0,1.6,2.7,.598,0.1,0.3,.444,1.5,2.4,.615,.621,0.6,0.8,.800,1.6,2.5,4.1,1.6,0.4,0.3,0.7,2.0,4.0
Brook Lopez,C,32,MIL,42,42,27.2,4.1,8.7,.471,1.5,4.5,.337,2.6,4.3,.611,.557,1.6,2.0,.829,1.3,3.7,5.0,0.7,0.5,1.4,0.9,2.1,11.4
Robin Lopez,C,32,WAS,41,9,20.3,3.3,5.7,.578,0.1,0.4,.333,3.1,5.3,.594,.588,1.6,2.2,.707,2.3,1.9,4.2,0.9,0.3,0.6,1.0,1.9,8.2
Kyle Lowry,PG,34,TOR,36,36,34.9,5.8,13.3,.438,2.8,7.2,.391,3.0,6.2,.491,.543,3.2,3.6,.884,0.9,4.7,5.6,7.4,1.1,0.3,2.9,3.2,17.6
Trey Lyles,PF,25,SAS,22,9,15.7,1.9,4.0,.483,0.6,1.7,.368,1.3,2.2,.571,.563,0.6,1.0,.619,0.4,3.4,3.8,0.6,0.2,0.0,0.2,0.5,5.0
Théo Maledon,PG,19,OKC,37,21,26.5,2.9,7.5,.388,1.6,4.3,.371,1.3,3.2,.412,.495,0.7,1.0,.722,0.3,2.8,3.1,3.5,0.9,0.1,1.9,2.2,8.1
Karim Mané,PG,20,ORL,7,0,8.6,0.1,1.3,.111,0.1,0.3,.500,0.0,1.0,.000,.167,0.6,0.6,1.000,0.0,1.4,1.4,0.1,0.0,0.1,0.4,0.4,1.0
Terance Mann,SG,24,LAC,41,3,16.4,2.0,4.0,.494,0.4,1.0,.372,1.6,3.0,.537,.543,1.0,1.2,.804,0.8,2.6,3.4,1.2,0.4,0.2,0.6,1.7,5.3
Nico Mannion,PG,19,GSW,13,1,12.6,1.4,4.2,.333,0.8,2.3,.367,0.5,1.8,.292,.435,0.8,1.1,.714,0.2,1.8,1.9,2.4,0.6,0.0,1.0,1.4,4.4
Boban Marjanović,C,32,DAL,20,1,7.6,1.9,3.9,.494,0.0,0.2,.000,1.9,3.7,.521,.494,0.6,0.8,.750,1.5,2.4,3.9,0.2,0.1,0.1,0.4,0.8,4.4
Naji Marshall,SF,23,NOP,5,0,3.4,0.2,0.8,.250,0.0,0.4,.000,0.2,0.4,.500,.250,0.2,0.4,.500,0.0,0.4,0.4,0.4,0.0,0.2,0.2,0.2,0.6
Kelan Martin,SF,25,IND,14,0,3.9,0.5,1.5,.333,0.1,0.6,.222,0.4,0.9,.417,.381,0.1,0.1,1.000,0.1,0.8,0.9,0.1,0.2,0.1,0.3,0.4,1.3
Kenyon Martin Jr.,SF,20,HOU,15,0,18.6,2.7,5.8,.471,0.4,1.2,.333,2.3,4.6,.507,.506,1.3,1.7,.731,2.1,2.6,4.7,0.7,0.5,1.0,1.2,1.5,7.1
Frank Mason III,PG,26,ORL,4,1,19.8,2.3,6.0,.375,0.5,1.3,.400,1.8,4.8,.368,.417,1.3,1.8,.714,0.8,2.3,3.0,3.0,0.0,0.0,1.3,1.8,6.3
Garrison Mathews,SG,24,WAS,35,19,17.4,1.9,4.4,.419,1.4,3.5,.403,0.4,0.9,.484,.581,1.6,1.7,.902,0.3,1.3,1.6,0.4,0.6,0.2,0.1,1.8,6.7
Dakota Mathias,SG,25,PHI,8,2,15.4,2.4,6.0,.396,1.0,3.3,.308,1.4,2.8,.500,.479,0.3,0.8,.333,0.1,0.8,0.9,1.6,0.1,0.4,0.1,0.9,6.0
Wesley Matthews,SG,34,LAL,36,5,20.1,1.4,4.0,.347,1.1,3.1,.336,0.3,0.9,.387,.479,0.4,0.4,.813,0.3,1.1,1.4,1.0,0.5,0.4,0.5,1.4,4.2
Tyrese Maxey,SG,20,PHI,37,6,15.4,3.3,7.1,.458,0.4,1.5,.281,2.8,5.6,.507,.489,0.6,0.7,.852,0.2,1.5,1.8,1.7,0.4,0.2,0.7,1.2,7.6
Skylar Mays,SG,23,ATL,19,0,7.4,1.1,2.7,.392,0.4,1.2,.348,0.6,1.5,.429,.471,0.8,0.9,.889,0.4,0.4,0.8,1.0,0.3,0.0,0.3,0.4,3.4
Patrick McCaw,SF,25,TOR,5,0,6.6,0.2,0.2,1.000,0.0,0.0,0,0.2,0.2,1.000,1.000,0.6,0.6,1.000,0.2,0.4,0.6,0.8,0.4,0.0,0.0,1.2,1.0
CJ McCollum,SG,29,POR,17,17,31.6,8.6,19.1,.449,4.4,10.2,.431,4.2,8.9,.470,.565,2.7,3.1,.868,0.5,3.2,3.7,4.4,1.1,0.3,1.0,1.9,24.3
T.J. McConnell,PG,28,IND,39,2,25.4,3.3,6.1,.549,0.2,0.6,.318,3.2,5.5,.572,.563,0.3,0.6,.565,0.7,2.9,3.7,6.5,1.8,0.4,1.9,1.6,7.2
Jaden McDaniels,PF,20,MIN,36,2,19.8,2.1,5.1,.408,0.9,2.8,.343,1.1,2.4,.482,.500,0.3,0.7,.462,0.6,2.7,3.3,1.0,0.5,1.0,0.7,2.3,5.4
Doug McDermott,PF,29,IND,41,16,25.5,5.3,10.3,.517,1.7,4.5,.371,3.6,5.8,.631,.598,1.3,1.6,.831,1.0,2.8,3.9,1.4,0.3,0.1,0.9,1.8,13.6
Sean McDermott,SF,24,MEM,9,0,14.6,1.2,2.8,.440,0.6,1.8,.313,0.7,1.0,.667,.540,0.7,0.7,1.000,0.4,0.9,1.3,0.4,0.2,0.2,0.4,0.7,3.7
Rodney McGruder,SG,29,DET,15,1,11.9,2.3,4.5,.507,0.7,1.5,.435,1.6,2.9,.545,.582,0.4,0.5,.750,0.5,0.9,1.4,1.0,0.5,0.1,0.5,0.7,5.6
Alfonzo McKinnie,SF,28,LAL,22,0,5.2,0.9,1.6,.543,0.3,0.7,.400,0.6,0.9,.650,.629,0.2,0.4,.625,0.4,0.8,1.1,0.1,0.1,0.0,0.1,0.5,2.2
Jordan McLaughlin,PG,24,MIN,24,0,19.5,2.2,5.9,.376,0.7,1.9,.348,1.5,4.0,.389,.433,0.3,0.4,.800,0.5,1.8,2.3,4.7,1.0,0.2,1.1,1.0,5.4
Ben McLemore,SG,27,HOU,28,3,16.0,2.3,6.6,.342,1.4,4.7,.303,0.8,1.9,.442,.451,0.7,1.0,.704,0.4,1.8,2.2,0.9,0.6,0.1,0.9,1.5,6.6
Nicolò Melli,PF,30,NOP,21,0,11.1,0.7,2.8,.259,0.3,1.7,.194,0.4,1.0,.364,.319,0.3,0.3,.857,0.6,2.1,2.7,1.2,0.4,0.0,0.3,1.3,2.0
De'Anthony Melton,PG,22,MEM,28,1,19.9,3.7,7.9,.468,1.6,3.8,.411,2.1,4.0,.522,.568,0.7,1.0,.741,0.6,2.7,3.4,2.9,1.3,0.6,1.1,1.8,9.6
Sam Merrill,SG,24,MIL,16,0,5.5,0.6,1.3,.476,0.4,0.8,.538,0.2,0.5,.375,.643,0.1,0.1,1.000,0.3,0.7,0.9,0.7,0.1,0.0,0.3,0.4,1.8
Chimezie Metu,C,23,SAC,11,0,6.5,1.4,2.7,.500,0.1,0.3,.333,1.3,2.5,.519,.517,0.5,0.8,.667,1.0,1.1,2.1,0.5,0.3,0.5,0.5,0.9,3.4
Khris Middleton,SF,29,MIL,42,42,33.4,7.5,15.4,.488,2.2,5.2,.429,5.3,10.1,.519,.561,3.2,3.5,.893,0.8,5.2,6.0,5.5,1.1,0.2,2.7,2.5,20.4
